alt_allele	end_gene	end	start_gene	Segment_Mean	genes	Sample	start	chr	build	Num_Probes	start_exon	end_exon	ref_allele	Segment_Call
	MORN1	2328000		0.115298	ABC7-43046700E7.1,ACAP3,AGRN,ANKRD65,AP006222.1,ATAD3A,ATAD3B,ATAD3C,AURKAIP1,B3GALT6,C1QTNF12,C1orf159,C1orf233,CALML6,CCNL2,CDK11A,CDK11B,CFAP74,CICP7,CPTP,DVL1,FAAP20,FAM166AP3,FAM41C,FAM87B,GABRD,GNB1,HES4,INTS11,ISG15,KLHL17,MIB2,MIR200A,MIR200B,MIR429,MIR6723,MIR6726,MIR6727,MIR6808,MIR6859-2,MMP23A,MMP23B,MORN1,MRPL20,MXRA8,NADK,NCRNA00115,NOC2L,OR4F16,OR4F29,PERM1,PLEKHN1,PRKCZ,PUSL1,RF00026,RN7SL657P,RNF223,RNU6-1199P,RP1-140A9.1,RP1-283E3.4,RP1-283E3.8,RP11-181G12.2,RP11-181G12.4,RP11-206L10.11,RP11-206L10.15,RP11-206L10.17,RP11-206L10.18,RP11-206L10.2,RP11-206L10.4,RP11-206L10.8,RP11-206L10.9,RP11-345P4.10,RP11-345P4.11,RP11-345P4.6,RP11-345P4.9,RP11-34P13.18,RP11-465B22.3,RP11-465B22.5,RP11-465B22.6,RP11-465B22.8,RP11-547D24.1,RP11-547D24.3,RP11-54O7.1,RP11-54O7.10,RP11-54O7.11,RP11-54O7.14,RP11-54O7.16,RP11-54O7.17,RP11-54O7.18,RP11-54O7.2,RP11-54O7.3,RP4-669L17.2,RP4-669L17.4,RP4-669L17.6,RP4-669L17.8,RP4-713A8.1,RP4-758J18.10,RP4-758J18.13,RP4-758J18.2,RP4-758J18.7,RP5-832C2.5,RP5-832C2.8,RP5-857K21.10,RP5-857K21.11,RP5-857K21.12,RP5-857K21.14,RP5-857K21.2,RP5-857K21.6,RP5-857K21.7,RP5-857K21.8,RP5-857K21.9,RP5-890O3.3,RP5-890O3.9,RP5-892K4.1,RP5-902P8.10,RP5-902P8.12,RPL23AP24,SAMD11,SCNN1D,SDF4,SKI,SLC35E2,SLC35E2B,SSU72,TAS1R3,TMEM240,TMEM52,TMEM88B,TNFRSF18,TNFRSF4,TTLL10,TUBB8P11,UBE2J2,VWA1		181001	chr1		1272		12+		0
		5802000	MORN1	-0.017086	ABC14-1188822O7.1,ACTRT2,AJAP1,ARHGEF16,C1orf174,CCDC27,CEP104,DFFB,FAM213B,HES5,LRRC47,MEGF6,MIR4251,MIR4417,MIR551A,MMEL1,MORN1,PANK4,PEX10,PLCH2,PRDM16,RER1,RF02197,RN7SL574P,RP1-163G9.1,RP1-163G9.2,RP1-286D6.5,RP1-37J18.1,RP1-37J18.2,RP1-58B11.1,RP1-58B11.2,RP1-58B11.3,RP11-154H17.1,RP11-168F9.2,RP11-193J6.1,RP11-22L13.1,RP11-374C13.1,RP11-46F15.2,RP11-542C10.1,RP11-718D19.1,RP11-718D19.2,RP11-740P5.2,RP11-740P5.3,RP13-15E13.1,RP13-436F16.1,RP13-614K11.1,RP13-614K11.2,RP3-395M20.12,RP3-395M20.2,RP3-395M20.3,RP3-395M20.7,RP3-395M20.8,RP3-395M20.9,RP3-491M17.1,RP4-603B14.1,RP4-603B14.2,RP4-703E10.1,RP4-740C4.5,RP4-740C4.7,RP5-1092A11.2,RP5-1092A11.5,RP5-1166F10.1,RP5-1166F10.2,RP5-907A6.1,SMIM1,TNFRSF14,TP73,TP73-AS1,TPRG1L,TTC34,WRAP73		2328001	chr1		2988	11-			0
	PER3	7794000		0.117564	ACOT7,CAMTA1,CHD5,DNAJC11,ESPN,GPR153,HES2,HES3,ICMT,KCNAB2,KLHL21,LINC00337,MIR4252,MIR4689,NOL9,NPHP4,PER3,PHF13,PLEKHG5,RNF207,RNU1-8P,RNU6-731P,RP1-120G22.11,RP1-202O8.2,RP1-202O8.3,RP11-242F24.1,RP11-242F24.2,RP11-312B8.1,RP11-312B8.2,RP11-334N17.1,RP11-338N10.1,RP11-338N10.2,RP11-338N10.3,RP11-58A11.2,RP3-453P22.1,RP3-453P22.2,RP3-467L1.6,RP4-549F15.1,RPL22,TAS1R1,THAP3,TNFRSF25,VAMP3,ZBTB48		5802001	chr1		1866		4-		0
	KIF1B	10240000	PER3	0.239704	C1orf200,CA6,CLSTN1,CTA-215D11.4,CTA-215D11.5,CTA-215D11.6,CTD-2510L9.1,CTD-2510L9.2,CTNNBIP1,ENO1,ERRFI1,GPR157,H6PD,KIF1B,LZIC,MIR1273D,MIR34A,MIR34AHG,MIR5697,MIR6728,NMNAT1,PARK7,PER3,PIK3CD,RBP7,RERE,RF00019,RF00424,RF00599,RN7SKP269,RN7SL451P,RNA5SP40,RNU1-7P,RNU6-304P,RNU6-828P,RNU6-991P,RP11-185B14.1,RP11-431K24.1,RP11-431K24.2,RP11-431K24.3,RP11-431K24.4,RP11-496H15.2,RP11-496H15.3,RP11-558F24.2,RP11-558F24.4,RP11-558F24.6,RP11-807G9.2,RP11-84A14.4,RP11-84A14.5,RP11-84A14.6,RP11-84A14.7,RP13-15M17.1,RP13-392I16.1,RP3-467L1.4,RP3-477M7.3,RP3-477M7.4,RP3-477M7.5,RP3-477M7.6,RP3-510D11.2,RP4-633I8.1,RP4-633I8.2,RP4-633I8.3,RP4-633I8.4,RP5-1115A15.1,RP5-1115A15.2,RP5-892F13.2,SLC25A33,SLC2A5,SLC2A7,SLC45A1,SPSB1,TMEM201,TNFRSF9,UBE4B,UTS2		7794001	chr1		2178	4+	0-		+
		10633000	KIF1B	-0.540268	APITD1-CORT,CENPS,CORT,DFFA,KIF1B,PEX14,PGD,RN7SL614P,RN7SL731P,RNU6-37P,RP4-736L20.3,RP4-736L20.4,RP4-736L20.5,RP5-1113E3.3		10240001	chr1		343	1+			-
		11459000		0.160067	ANGPTL7,C1orf127,CASZ1,CFLP6,EXOSC10,MASP2,MTOR,RNU6-291P,RNU6-537P,RP11-149P14.1,RP11-340B24.3,RP11-99P18.1,RP4-635E18.6,RP4-635E18.7,RP4-635E18.8,RP4-635E18.9,RP4-647M16.1,RP4-734G22.3,RP4-796F18.2,RP4-796F18.3,SRM,TARDBP,UBIAD1		10633001	chr1		749				0
	RP3-330O12.5	11626000		-0.814730	DISP3,RP1-69M21.2,RP3-330O12.5		11459001	chr1		157		0-		-
	FBXO6	11668000	RP3-330O12.5	-0.565061	FBXO2,FBXO44,FBXO6,RP3-330O12.5		11626001	chr1		33	1+	0-		-
		15247000	FBXO6	0.102642	AADACL3,AADACL4,AGTRAP,C1orf158,C1orf167,C1orf195,CH17-409J4.2,CLCN6,CTA-520D8.2,DHRS3,DRAXIN,FBXO6,HNRNPCL1,HNRNPCL2,HNRNPCL3,HNRNPCL4,KAZN,KIAA2013,LRRC38,MAD2L2,MFN2,MIIP,MIR4632,MIR6729,MIR6730,MIR7846,MTHFR,NPPA,NPPA-AS1,NPPB,PDPN,PLOD1,PRAMEF1,PRAMEF10,PRAMEF11,PRAMEF12,PRAMEF13,PRAMEF14,PRAMEF15,PRAMEF17,PRAMEF18,PRAMEF19,PRAMEF2,PRAMEF20,PRAMEF25,PRAMEF26,PRAMEF27,PRAMEF4,PRAMEF5,PRAMEF6,PRAMEF7,PRAMEF8,PRAMEF9,PRDM2,RF00019,RF00156,RF00564,RF02156,RF02157,RF02158,RN7SL649P,RNA5SP41,RNU5E-1,RNU5E-4P,RNU6-1072P,RNU6-1265P,RNU6-771P,RNU6-777P,RNU6ATAC18P,RP1-21O18.3,RP11-219C24.10,RP11-219C24.6,RP11-219C24.8,RP11-344F13.1,RP11-426M1.2,RP11-450I1.2,RP11-450I1.4,RP11-474O21.2,RP11-474O21.5,RP11-56N19.5,RP13-221M14.2,RP13-221M14.3,RP13-221M14.4,RP3-410I8.1,RP4-597A16.2,RP4-597A16.3,RP4-704D23.1,RP5-1077B9.5,RP5-1118D24.2,RP5-845O24.3,RP5-845O24.8,RP5-888M10.2,RP5-903E17.2,RP5-934G17.6,SNORA59A,TMEM51,TMEM51-AS1,TNFRSF1B,TNFRSF8,VPS13D,WI2-2994D6.1		11668001	chr1		2878	1+			0
		16505000		0.203400	AGMAT,ANO7P1,ARHGEF19,C1orf64,CASP9,CELA2A,CELA2B,CLCNKA,CLCNKB,CROCCP3,CTRC,DDI2,DNAJC16,EFHD2,EPHA2,FAM131C,FBLIM1,FBXO42,FHAD1,HSPB7,MTL1,NECAP2,PLEKHM2,RNU7-179P,RP1-134O19.3,RP11-169K16.4,RP11-169K16.6,RP11-169K16.8,RP11-169K16.9,RP11-276H7.2,RP11-276H7.3,RP11-288I21.1,RP11-430L17.1,RP11-5P18.1,RP11-5P18.10,RP11-5P18.11,RP11-5P18.2,RP11-5P18.3,RP11-5P18.5,RP3-467K16.2,RP3-467K16.4,RP3-467K16.7,RP4-680D5.2,RP4-680D5.3,RP4-680D5.4,RP4-680D5.8,RP4-680D5.9,RP4-733M16.2,RP4-798A10.2,RSC1A1,RSG1,SCARNA21B,SLC25A34,SPATA21,SPEN,SZRD1,TMEM82,UQCRHL,ZBTB17		15247001	chr1		1130				+
